Timestamp,Video ID,Comment,Comment ID
2025-03-10 00:16:01,ESWBDhJH5cs,이거 괴물쥐 상대한테 쌍욕 박는거 상대가 고소 가능?,Ugxq8RJIXc-3bbr9C754AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,루굼마ㅋㅋ,Ugw-qYYrHyTebAiKOLR4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,물쥐 저기 어디임?,Ugxpl7USQLweyP2cEWN4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,"<a href=""https://www.youtube.com/watch?v=ESWBDhJH5cs&amp;t=758"">12:38</a> 니코 귀엽ㅋㅋㅋㅋㅋ",UgwUamFlOrbbogX2qMR4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,물쥐님 집 소개 영상 올려주세요,UgzBAgNsWHhkuiVKN_R4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,이분은 왜 한문장에 한번씩 욕하나요?,UgzC6CIuwWQTpnI7m-h4AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,괴물쥐 안경 bm 7시리즈 콧구멍이냐?,UgwFsV8b6Wy_ptgRW054AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,솔직히 욕이 늘기는했어,UgxTXWAN6SbntL4LRP54AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,바루스 스킨 왜케 흐물거려,UgxA5lDZpK0gC-JeUdl4AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,아 이게 아니야 싼맛이 사라졌잖아!!,Ugw5hF-DyS7jE_dbkyN4AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,"가장 좋아하는 가수는 누군가요?<br><a href=""https://www.youtube.com/watch?v=ESWBDhJH5cs&amp;t=704"">11:44</a>",UgzpKd_08AO0Wzp5v-14AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,롤이 망할수록 물쥐 볼낯이 없어지는거같내....<br>예전에 다이아 에 허우적되던 그 쥐 가 이젠 그리워진다. 그땐 짙은색을 다 받아내던 라이엇 이었던거 같은데...,Ugy5HAIi0GjRMwdbUC54AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,"<a href=""https://www.youtube.com/watch?v=ESWBDhJH5cs&amp;t=60"">1:00</a> 와 니코 분신플레이 지리네",UgxQ7qj713FOslVAamd4AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,배경하고 소리 맛 ㄹㅇ 없어졌네,Ugw3hpikM5umx-NDQVZ4AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,캠 배경을 깔끔하게 좀 해야될듯 단색이라든지,UgxIMb-296ZCZElCceh4AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,나만 썸네일 3인 당구인줄 알앗냐,UgxHg0xjGCjG-2t5qoV4AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,화장실에서 방송하는거에요? 이사가심?,Ugz8vJioTktaBuJrR-14AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,지금달면 배뎃인데 뭐 달지,Ugxcu8zMVl7dTeW-dUJ4AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,썸넬보고 당구 기가막히게 친건 줄 알았네,UgzjBjTatzpHcAcc4Q54AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,ee,UgyqY-oj-iDb_DOdOg54AaABAg
2025-03-10 00:16:02,ESWBDhJH5cs,공겜85,UgzsVWQOTdvOGOgLBld4AaABAg
